,Date,Start (ET),Visitor/Neutral,Visitor Points,Home/Neutral,Home Points, , ,Attend.,Notes
216,"Wed, Nov 26, 2014",8:00p,Sacramento Kings,89,Houston Rockets,102,Box Score,,"18,058",
217,"Wed, Nov 26, 2014",8:00p,Milwaukee Bucks,103,Minnesota Timberwolves,86,Box Score,,"14,710",
218,"Wed, Nov 26, 2014",8:00p,Utah Jazz,82,Oklahoma City Thunder,97,Box Score,,"18,203",
219,"Wed, Nov 26, 2014",8:30p,Indiana Pacers,100,San Antonio Spurs,106,Box Score,,"18,581",
220,"Wed, Nov 26, 2014",9:00p,Denver Nuggets,112,Phoenix Suns,120,Box Score,,"16,099",
221,"Wed, Nov 26, 2014",10:30p,Memphis Grizzlies,99,Los Angeles Lakers,93,Box Score,,"18,997",
222,"Fri, Nov 28, 2014",1:00p,Chicago Bulls,109,Boston Celtics,102,Box Score,,"18,203",
223,"Fri, Nov 28, 2014",7:00p,Golden State Warriors,106,Charlotte Hornets,101,Box Score,,"19,381",
224,"Fri, Nov 28, 2014",7:30p,New Orleans Pelicans,91,Atlanta Hawks,100,Box Score,,"17,079",
225,"Fri, Nov 28, 2014",7:30p,Milwaukee Bucks,104,Detroit Pistons,88,Box Score,,"13,127",
226,"Fri, Nov 28, 2014",7:30p,Dallas Mavericks,106,Toronto Raptors,102,Box Score,,"19,800",
227,"Fri, Nov 28, 2014",8:00p,Los Angeles Clippers,102,Houston Rockets,85,Box Score,,"18,226",
228,"Fri, Nov 28, 2014",8:00p,Orlando Magic,83,Indiana Pacers,98,Box Score,,"18,165",
229,"Fri, Nov 28, 2014",8:00p,New York Knicks,78,Oklahoma City Thunder,105,Box Score,,"18,203",
230,"Fri, Nov 28, 2014",8:30p,Sacramento Kings,104,San Antonio Spurs,112,Box Score,,"18,581",
231,"Fri, Nov 28, 2014",9:00p,Phoenix Suns,97,Denver Nuggets,122,Box Score,,"15,509",
232,"Fri, Nov 28, 2014",10:00p,Memphis Grizzlies,112,Portland Trail Blazers,99,Box Score,,"19,459",
233,"Fri, Nov 28, 2014",10:30p,Minnesota Timberwolves,120,Los Angeles Lakers,119,Box Score,,"18,997",
234,"Sat, Nov 29, 2014",7:00p,Dallas Mavericks,110,Philadelphia 76ers,103,Box Score,,"16,145",
235,"Sat, Nov 29, 2014",7:00p,New Orleans Pelicans,80,Washington Wizards,83,Box Score,,"17,581",
236,"Sat, Nov 29, 2014",7:30p,Charlotte Hornets,75,Atlanta Hawks,105,Box Score,,"14,185",
237,"Sat, Nov 29, 2014",7:30p,Indiana Pacers,97,Cleveland Cavaliers,109,Box Score,,"20,562",
238,"Sat, Nov 29, 2014",9:00p,Houston Rockets,117,Milwaukee Bucks,103,Box Score,,"16,119",
