PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TEAM,GAME_ID
Nemanja Bjelica,13:06,2,4,.500,1,3,.333,0,0,,0,3,3,0,0,3,0,2,5,+9,SAC,932
Yogi Ferrell,8:34,0,3,.000,0,0,,2,2,1.000,0,2,2,0,0,0,1,1,2,-4,SAC,932
Kosta Koufos,Did Not Play,,,,,,,,,,,,,,,,,,,,SAC,932
Caleb Swanigan,Did Not Play,,,,,,,,,,,,,,,,,,,,SAC,932
Frank Mason,Did Not Play,,,,,,,,,,,,,,,,,,,,SAC,932
Landry Shamet,32:54,6,12,.500,5,10,.500,3,3,1.000,0,4,4,2,0,1,0,2,20,+22,LAC,932
Shai Gilgeous-Alexander,32:23,6,13,.462,3,3,1.000,0,0,,2,4,6,1,1,0,1,4,15,0,LAC,932
Patrick Beverley,31:16,5,8,.625,2,3,.667,0,0,,2,5,7,3,0,1,2,5,12,+10,LAC,932
Danilo Gallinari,29:33,5,12,.417,1,5,.200,8,9,.889,1,8,9,3,0,0,1,3,19,+13,LAC,932
Ivica Zubac,18:04,4,9,.444,0,0,,2,4,.500,4,6,10,2,0,2,0,0,10,+15,LAC,932
Montrezl Harrell,29:54,5,13,.385,0,1,.000,5,6,.833,4,4,8,1,1,1,3,3,15,-10,LAC,932
Lou Williams,28:10,6,17,.353,0,5,.000,5,9,.556,1,2,3,4,1,0,2,1,17,-6,LAC,932
JaMychal Green,19:31,3,7,.429,1,3,.333,1,2,.500,2,8,10,0,1,1,1,2,8,-2,LAC,932
Garrett Temple,15:01,0,1,.000,0,1,.000,0,0,,0,1,1,3,0,0,0,2,0,-4,LAC,932
Tyrone Wallace,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2,LAC,932
Sindarius Thornwell,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,LAC,932
Johnathan Motley,Did Not Play,,,,,,,,,,,,,,,,,,,,LAC,932
Rajon Rondo,39:54,7,19,.368,4,12,.333,2,2,1.000,2,6,8,9,2,0,3,5,20,-17,LAL,933
Brandon Ingram,39:15,13,21,.619,1,4,.250,4,5,.800,1,7,8,2,0,1,0,3,31,-11,LAL,933
LeBron James,38:49,10,19,.526,3,8,.375,8,10,.800,2,5,7,10,1,0,3,2,31,-4,LAL,933
Kyle Kuzma,34:23,5,18,.278,1,6,.167,1,1,1.000,1,5,6,3,0,0,1,2,12,-9,LAL,933
Reggie Bullock,25:39,2,5,.400,1,3,.333,0,0,,0,3,3,0,0,0,0,1,5,+9,LAL,933
Kentavious Caldwell-Pope,22:31,3,5,.600,1,3,.333,0,0,,0,3,3,2,1,0,2,3,7,-22,LAL,933
Josh Hart,14:56,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,1,0,3,5,-1,LAL,933
Mike Muscala,14:05,1,2,.500,1,2,.500,0,0,,1,0,1,2,0,1,0,1,3,-8,LAL,933
JaVale McGee,10:28,3,4,.750,0,0,,0,0,,1,1,2,0,0,1,0,1,6,+8,LAL,933
Alex Caruso,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,933
Tyson Chandler,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,933
Moritz Wagner,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,933
Isaac Bonga,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,933
Giannis Antetokounmpo,32:30,7,14,.500,0,2,.000,2,4,.500,2,13,15,6,0,3,4,4,16,+3,MIL,933
Khris Middleton,32:11,4,8,.500,2,4,.500,8,9,.889,1,4,5,6,0,0,0,4,18,-3,MIL,933
Eric Bledsoe,30:53,12,24,.500,2,11,.182,5,5,1.000,2,7,9,5,0,1,1,0,31,+14,MIL,933
Malcolm Brogdon,27:46,8,13,.615,3,3,1.000,2,2,1.000,0,2,2,4,0,0,0,0,21,+9,MIL,933
Brook Lopez,20:18,4,8,.500,3,6,.500,0,0,,0,3,3,0,0,1,2,1,11,0,MIL,933
Pat Connaughton,25:43,4,6,.667,1,2,.500,0,0,,4,1,5,4,0,1,1,1,9,+13,MIL,933
Ersan İlyasova,23:40,4,8,.500,2,4,.500,2,2,1.000,0,2,2,1,2,0,1,3,12,+18,MIL,933
Nikola Mirotić,22:05,4,7,.571,1,4,.250,2,2,1.000,1,4,5,2,1,0,2,1,11,+5,MIL,933
Tony Snell,22:00,1,5,.200,0,4,.000,0,0,,1,3,4,2,1,0,0,1,2,+1,MIL,933
Isaiah Canaan,2:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5,MIL,933
Bonzie Colson,Did Not Play,,,,,,,,,,,,,,,,,,,,MIL,933
Christian Wood,Did Not Play,,,,,,,,,,,,,,,,,,,,MIL,933
D.J. Wilson,Did Not Play,,,,,,,,,,,,,,,,,,,,MIL,933
Collin Sexton,35:09,3,13,.231,0,3,.000,10,13,.769,0,3,3,0,0,0,0,3,16,-25,CLE,934
Cedi Osman,32:06,3,9,.333,2,4,.500,2,2,1.000,2,2,4,2,1,0,2,3,10,-28,CLE,934
Larry Nance,25:59,4,7,.571,2,4,.500,1,2,.500,2,3,5,3,1,0,3,0,11,-13,CLE,934
Marquese Chriss,20:41,2,8,.250,2,5,.400,3,4,.750,1,3,4,1,1,0,5,3,9,-25,CLE,934
Brandon Knight,20:02,3,8,.375,3,4,.750,1,2,.500,0,1,1,2,1,0,0,2,10,-18,CLE,934
David Nwaba,27:48,3,7,.429,2,3,.667,0,0,,1,4,5,1,1,0,1,2,8,-13,CLE,934
Jordan Clarkson,23:12,4,13,.308,0,3,.000,3,3,1.000,2,1,3,3,2,0,0,2,11,-16,CLE,934
Channing Frye,20:28,3,6,.500,2,5,.400,0,0,,0,4,4,2,0,1,0,2,8,-19,CLE,934
Matthew Dellavedova,17:37,0,3,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,1,2,2,-13,CLE,934
Nik Stauskas,16:58,2,5,.400,0,1,.000,4,4,1.000,1,2,3,0,0,0,0,0,8,-10,CLE,934
Ante Žižić,Did Not Dress,,,,,,,,,,,,,,,,,,,,CLE,934
Bruce Brown,27:00,1,5,.200,0,2,.000,2,2,1.000,0,6,6,0,0,1,0,1,4,+22,DET,934
Blake Griffin,26:24,6,10,.600,2,4,.500,0,0,,2,5,7,9,0,1,3,0,14,+22,DET,934
Andre Drummond,25:33,3,5,.600,0,0,,7,8,.875,1,9,10,2,0,1,1,4,13,+26,DET,934
Reggie Jackson,21:12,9,11,.818,4,4,1.000,2,2,1.000,1,1,2,2,0,0,1,2,24,+22,DET,934
Wayne Ellington,21:12,5,9,.556,5,8,.625,0,0,,0,1,1,2,2,1,1,2,15,+22,DET,934
Luke Kennard,22:02,10,15,.667,6,7,.857,0,0,,1,4,5,1,0,1,1,2,26,+12,DET,934
Ish Smith,22:02,5,9,.556,0,2,.000,1,1,1.000,1,4,5,6,0,0,1,5,11,+12,DET,934
Langston Galloway,21:00,2,8,.250,2,6,.333,2,2,1.000,1,2,3,0,2,0,0,3,8,+14,DET,934
Thon Maker,20:21,2,3,.667,0,1,.000,1,2,.500,1,5,6,2,0,1,1,1,5,+11,DET,934
Glenn Robinson,14:29,3,7,.429,0,2,.000,0,0,,1,3,4,0,0,2,0,1,6,+10,DET,934
Zaza Pachulia,9:13,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3,DET,934
Sviatoslav Mykhailiuk,4:46,1,2,.500,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,3,+2,DET,934
Khyri Thomas,4:46,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,2,0,+2,DET,934
Thaddeus Young,36:39,6,8,.750,1,2,.500,0,0,,1,5,6,5,2,1,0,1,13,-2,IND,935
Darren Collison,33:13,8,12,.667,2,4,.500,5,6,.833,0,3,3,10,0,0,3,2,23,+5,IND,935
Wesley Matthews,31:35,3,8,.375,2,7,.286,4,4,1.000,0,5,5,4,1,0,1,4,12,-6,IND,935
Bojan Bogdanović,30:53,8,17,.471,2,7,.286,7,8,.875,0,3,3,3,1,0,1,0,25,-3,IND,935
Myles Turner,30:37,4,9,.444,0,3,.000,2,2,1.000,1,5,6,1,1,4,3,4,10,+4,IND,935
Cory Joseph,22:16,6,9,.667,0,1,.000,2,3,.667,0,3,3,3,0,0,0,1,14,-3,IND,935
Kyle O'Quinn,17:23,3,4,.750,0,0,,0,0,,1,3,4,4,0,1,1,2,6,-9,IND,935
Tyreke Evans,13:24,1,5,.200,0,2,.000,1,1,1.000,0,3,3,0,0,0,2,1,3,-4,IND,935
Doug McDermott,12:47,3,4,.750,0,1,.000,0,0,,0,1,1,0,0,0,0,2,6,-4,IND,935
T.J. Leaf,11:13,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-3,IND,935
Davon Reed,Did Not Play,,,,,,,,,,,,,,,,,,,,IND,935
Aaron Holiday,Did Not Play,,,,,,,,,,,,,,,,,,,,IND,935
Aaron Gordon,36:24,5,15,.333,1,3,.333,0,0,,1,7,8,6,0,1,2,2,11,+6,ORL,935
Evan Fournier,35:20,7,12,.583,3,4,.750,2,2,1.000,0,5,5,8,0,0,3,4,19,-4,ORL,935
Nikola Vučević,32:03,11,19,.579,0,3,.000,5,7,.714,3,5,8,3,2,1,0,2,27,-5,ORL,935
Jonathan Isaac,27:44,5,8,.625,2,3,.667,0,1,.000,5,3,8,2,1,1,1,1,12,-1,ORL,935
D.J. Augustin,17:19,1,5,.200,0,2,.000,1,1,1.000,0,2,2,4,1,0,0,1,3,0,ORL,935
Terrence Ross,27:15,8,17,.471,3,11,.273,4,4,1.000,0,3,3,1,1,0,0,2,23,+8,ORL,935
Isaiah Briscoe,18:09,2,4,.500,0,1,.000,0,0,,0,1,1,0,1,0,2,4,4,-4,ORL,935
Wesley Iwundu,17:25,2,5,.400,0,0,,0,0,,0,3,3,1,0,0,0,2,4,+6,ORL,935
Khem Birch,15:57,3,3,1.000,0,0,,1,2,.500,2,1,3,1,0,1,0,1,7,+10,ORL,935
Jerian Grant,12:24,2,3,.667,1,1,1.000,2,2,1.000,0,0,0,2,1,1,1,1,7,+9,ORL,935
Amile Jefferson,Did Not Play,,,,,,,,,,,,,,,,,,,,ORL,935
Melvin Frazier,Did Not Play,,,,,,,,,,,,,,,,,,,,ORL,935
Jarell Martin,Did Not Play,,,,,,,,,,,,,,,,,,,,ORL,935
Josh Richardson,34:41,5,12,.417,0,4,.000,2,4,.500,0,5,5,7,0,1,0,2,12,+28,MIA,936
Kelly Olynyk,34:16,9,13,.692,3,5,.600,4,4,1.000,0,6,6,4,1,2,2,3,25,+27,MIA,936
Bam Adebayo,28:12,3,8,.375,0,0,,3,4,.750,4,12,16,6,0,2,0,3,9,+23,MIA,936
Dion Waiters,27:33,2,10,.200,1,5,.200,2,2,1.000,0,8,8,7,0,0,1,2,7,+22,MIA,936
Justise Winslow,26:51,6,9,.667,1,3,.333,0,2,.000,2,2,4,6,0,1,3,2,13,+18,MIA,936
Rodney McGruder,26:39,6,9,.667,4,6,.667,1,2,.500,1,5,6,2,2,2,1,3,17,+9,MIA,936
Derrick Jones,25:36,7,10,.700,2,4,.500,2,2,1.000,0,4,4,0,0,1,0,2,18,+8,MIA,936
Dwyane Wade,22:30,4,12,.333,1,3,.333,0,0,,2,2,4,4,2,0,4,1,9,+8,MIA,936
Duncan Robinson,5:46,2,4,.500,2,3,.667,0,0,,0,1,1,0,0,0,0,0,6,+2,MIA,936
Ryan Anderson,4:10,0,3,.000,0,1,.000,1,2,.500,2,1,3,0,0,0,0,0,1,+1,MIA,936
Udonis Haslem,3:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1,MIA,936
Goran Dragić,Did Not Dress,,,,,,,,,,,,,,,,,,,,MIA,936
James Johnson,Did Not Play,,,,,,,,,,,,,,,,,,,,MIA,936
Caris LeVert,29:24,3,9,.333,0,2,.000,2,2,1.000,1,1,2,6,1,0,1,2,8,-22,BRK,936
Joe Harris,26:00,6,11,.545,2,5,.400,1,1,1.000,0,3,3,0,0,2,4,1,15,-27,BRK,936
D'Angelo Russell,23:26,4,8,.500,2,4,.500,0,0,,0,1,1,8,1,0,1,0,10,-13,BRK,936
Jarrett Allen,18:02,3,6,.500,0,1,.000,0,2,.000,1,2,3,0,0,0,0,2,6,-11,BRK,936
Treveon Graham,15:04,3,10,.300,2,6,.333,0,0,,2,2,4,0,0,1,0,1,8,-11,BRK,936
Rodions Kurucs,27:41,3,9,.333,1,5,.200,4,4,1.000,0,7,7,0,0,1,1,0,11,-7,BRK,936
Spencer Dinwiddie,24:45,2,12,.167,0,4,.000,6,7,.857,0,1,1,4,1,1,3,2,10,-11,BRK,936
Allen Crabbe,22:39,1,9,.111,1,9,.111,0,0,,0,4,4,0,1,0,1,2,3,-14,BRK,936
DeMarre Carroll,19:25,3,8,.375,1,6,.167,1,2,.500,2,4,6,0,0,0,0,0,8,-5,BRK,936
Ed Davis,14:10,2,2,1.000,0,0,,0,0,,0,3,3,1,0,0,0,3,4,-10,BRK,936
Rondae Hollis-Jefferson,12:00,1,3,.333,0,0,,3,4,.750,1,1,2,0,2,1,0,0,5,-9,BRK,936
Jared Dudley,7:24,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-5,BRK,936
Shabazz Napier,Did Not Play,,,,,,,,,,,,,,,,,,,,BRK,936
Dwight Powell,31:54,4,7,.571,1,1,1.000,4,6,.667,2,6,8,4,2,0,2,5,13,-5,DAL,937
Jalen Brunson,28:20,1,10,.100,0,5,.000,0,0,,2,2,4,2,1,0,0,2,2,-11,DAL,937
Luka Dončić,26:14,7,14,.500,1,8,.125,7,12,.583,0,4,4,2,2,2,2,1,22,-14,DAL,937
Dirk Nowitzki,22:52,2,10,.200,1,6,.167,2,2,1.000,1,6,7,1,0,0,0,3,7,-6,DAL,937
Tim Hardaway,21:28,3,10,.300,2,7,.286,2,2,1.000,0,1,1,1,0,0,1,3,10,-12,DAL,937
Maxi Kleber,18:13,0,4,.000,0,1,.000,2,2,1.000,4,1,5,1,0,1,1,2,2,-24,DAL,937
Devin Harris,15:52,0,4,.000,0,1,.000,3,6,.500,1,3,4,2,1,0,1,2,3,-17,DAL,937
Trey Burke,14:51,2,6,.333,0,2,.000,0,0,,0,0,0,2,0,0,1,0,4,-14,DAL,937
Salah Mejri,12:34,1,3,.333,0,1,.000,0,0,,2,3,5,2,1,0,2,1,2,-15,DAL,937
Ryan Broekhoff,12:31,1,5,.200,0,2,.000,0,0,,0,3,3,0,0,0,0,1,2,-5,DAL,937
Courtney Lee,12:00,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,1,0,0,2,-7,DAL,937
Dorian Finney-Smith,11:46,3,4,.750,1,2,.500,1,1,1.000,1,0,1,0,1,1,0,3,8,-16,DAL,937
Justin Jackson,11:25,1,4,.250,1,2,.500,1,2,.500,0,0,0,0,1,0,0,0,4,-4,DAL,937
Bruno Caboclo,34:32,3,8,.375,2,5,.400,1,2,.500,2,9,11,6,0,1,1,4,9,+8,MEM,937
Avery Bradley,32:03,5,12,.417,3,6,.500,2,2,1.000,1,4,5,5,0,0,0,3,15,+25,MEM,937
Jonas Valančiūnas,28:08,8,9,.889,0,0,,4,6,.667,0,10,10,4,1,0,2,3,20,+21,MEM,937
Mike Conley,23:07,3,10,.300,1,3,.333,5,5,1.000,0,1,1,2,0,0,1,4,12,+1,MEM,937
Justin Holiday,3:04,0,0,,0,0,,0,0,,0,0,0,0,1,0,2,0,0,-1,MEM,937
C.J. Miles,26:25,4,8,.500,3,6,.500,1,1,1.000,0,2,2,4,0,0,0,5,12,+26,MEM,937
Delon Wright,25:20,2,7,.286,0,2,.000,0,0,,0,6,6,2,0,1,3,4,4,+5,MEM,937
Joakim Noah,17:13,4,7,.571,0,1,.000,4,5,.800,1,7,8,5,0,2,2,1,12,+21,MEM,937
Chandler Parsons,15:29,2,5,.400,1,4,.250,0,0,,0,2,2,2,1,0,1,2,5,+23,MEM,937
Ivan Rabb,13:39,3,3,1.000,0,0,,0,0,,0,2,2,0,0,0,1,0,6,+3,MEM,937
Jevon Carter,11:44,5,8,.625,4,6,.667,1,1,1.000,0,3,3,0,1,2,1,2,15,+14,MEM,937
Tyler Dorsey,9:16,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,1,2,1,+4,MEM,937
Tobias Harris,43:32,7,20,.350,3,11,.273,3,3,1.000,1,8,9,3,0,0,4,4,20,-4,PHI,938
Ben Simmons,40:44,10,15,.667,0,0,,5,6,.833,2,13,15,11,3,0,9,3,25,-11,PHI,938
Jimmy Butler,36:39,5,16,.313,2,4,.500,9,11,.818,5,4,9,2,1,1,2,3,21,+1,PHI,938
J.J. Redick,30:20,2,9,.222,0,3,.000,2,2,1.000,0,3,3,1,0,0,2,1,6,-4,PHI,938
Jonah Bolden,21:46,4,5,.800,3,4,.750,1,1,1.000,1,2,3,2,0,2,1,5,12,-6,PHI,938
Mike Scott,32:16,7,15,.467,6,9,.667,2,2,1.000,2,2,4,0,1,0,1,4,22,+4,PHI,938
T.J. McConnell,18:35,4,6,.667,0,0,,2,2,1.000,0,1,1,4,1,0,1,1,10,+2,PHI,938
Jonathon Simmons,16:08,0,1,.000,0,0,,1,2,.500,0,2,2,3,0,0,1,4,1,+3,PHI,938
Boban Marjanović,Did Not Dress,,,,,,,,,,,,,,,,,,,,PHI,938
Justin Patton,Did Not Play,,,,,,,,,,,,,,,,,,,,PHI,938
Amir Johnson,Did Not Play,,,,,,,,,,,,,,,,,,,,PHI,938
James Ennis,Did Not Play,,,,,,,,,,,,,,,,,,,,PHI,938
Kevin Durant,37:25,11,24,.458,2,7,.286,10,14,.714,0,5,5,5,0,0,4,0,34,+11,GSW,938
Stephen Curry,35:56,10,23,.435,5,15,.333,3,3,1.000,1,3,4,2,4,0,2,4,28,+2,GSW,938
Draymond Green,34:53,2,4,.500,0,0,,2,2,1.000,0,9,9,10,3,0,3,4,6,0,GSW,938
DeMarcus Cousins,29:14,9,15,.600,1,2,.500,6,10,.600,2,6,8,0,2,1,1,2,25,-2,GSW,938
Alfonzo McKinnie,7:13,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-3,GSW,938
Damion Lee,25:52,4,6,.667,4,5,.800,0,0,,1,1,2,0,2,0,0,3,12,+13,GSW,938
Andre Iguodala,25:14,2,3,.667,1,2,.500,1,2,.500,0,4,4,4,2,3,1,2,6,+3,GSW,938
Shaun Livingston,16:06,1,2,.500,0,0,,1,1,1.000,0,2,2,0,1,1,2,2,3,-8,GSW,938
Jordan Bell,15:40,1,1,1.000,0,0,,1,2,.500,0,3,3,1,0,2,0,3,3,-2,GSW,938
Quinn Cook,8:38,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,+4,GSW,938
Jonas Jerebko,3:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,GSW,938
Klay Thompson,Did Not Dress,,,,,,,,,,,,,,,,,,,,GSW,938
Kevon Looney,Did Not Dress,,,,,,,,,,,,,,,,,,,,GSW,938
LaMarcus Aldridge,34:49,10,18,.556,0,0,,7,7,1.000,2,8,10,1,1,1,0,1,27,+13,SAS,939
DeMar DeRozan,33:32,8,16,.500,0,0,,2,4,.500,1,5,6,7,0,0,4,1,18,+21,SAS,939
Derrick White,29:32,6,10,.600,1,2,.500,1,1,1.000,0,8,8,2,3,1,2,3,14,+16,SAS,939
Bryn Forbes,26:19,6,9,.667,3,5,.600,1,2,.500,0,4,4,1,1,0,1,3,16,+13,SAS,939
Jakob Poeltl,26:02,2,5,.400,0,0,,1,2,.500,6,1,7,1,2,3,1,4,5,+14,SAS,939
Rudy Gay,26:23,9,16,.563,2,3,.667,2,2,1.000,1,7,8,1,1,0,1,2,22,+5,SAS,939
Dāvis Bertāns,20:33,2,4,.500,2,4,.500,1,1,1.000,0,2,2,0,0,1,0,1,7,+4,SAS,939
Patty Mills,18:28,1,5,.200,0,3,.000,0,0,,1,0,1,1,0,0,1,3,2,-2,SAS,939
Marco Belinelli,15:32,1,6,.167,0,2,.000,2,4,.500,0,0,0,1,0,0,0,0,4,-2,SAS,939
Drew Eubanks,2:23,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3,SAS,939
Lonnie Walker,2:23,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3,SAS,939
Dante Cunningham,2:02,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,1,1,-3,SAS,939
Quincy Pondexter,2:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,SAS,939
Terrance Ferguson,37:13,3,6,.500,1,4,.250,0,0,,0,1,1,0,0,0,1,4,7,-21,OKC,939
Russell Westbrook,33:45,7,17,.412,1,5,.200,4,7,.571,1,8,9,8,1,0,7,2,19,-15,OKC,939
Dennis Schröder,31:22,6,15,.400,1,5,.200,5,8,.625,1,4,5,3,1,0,3,3,18,-23,OKC,939
Jerami Grant,30:33,5,14,.357,2,8,.250,0,0,,1,5,6,1,0,0,0,2,12,-16,OKC,939
Steven Adams,24:57,7,11,.636,0,0,,3,5,.600,6,7,13,0,2,1,2,4,17,-12,OKC,939
Abdel Nader,24:42,1,6,.167,0,2,.000,0,0,,1,4,5,3,1,0,0,1,2,+4,OKC,939
Markieff Morris,22:21,4,6,.667,1,2,.500,1,2,.500,0,3,3,1,1,0,0,1,10,+2,OKC,939
Raymond Felton,21:44,6,9,.667,1,3,.333,0,0,,0,0,0,1,0,0,0,0,13,+7,OKC,939
Nerlens Noel,8:58,0,1,.000,0,0,,2,2,1.000,1,1,2,0,1,1,0,1,2,-2,OKC,939
Deonte Burton,2:23,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,+3,OKC,939
Hamidou Diallo,2:02,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3,OKC,939
Paul George,Did Not Play,,,,,,,,,,,,,,,,,,,,OKC,939
Patrick Patterson,Did Not Play,,,,,,,,,,,,,,,,,,,,OKC,939
Paul Millsap,36:16,4,8,.500,2,4,.500,6,9,.667,0,7,7,2,5,2,2,3,16,-11,DEN,940
Will Barton,32:06,3,11,.273,2,6,.333,0,0,,1,7,8,3,1,1,4,1,8,-4,DEN,940
Jamal Murray,31:49,5,15,.333,1,7,.143,9,9,1.000,2,1,3,4,1,0,1,2,20,-1,DEN,940
Gary Harris,25:52,3,9,.333,1,3,.333,1,1,1.000,0,0,0,2,1,1,3,1,8,+3,DEN,940
Nikola Jokić,21:34,7,11,.636,1,2,.500,5,6,.833,4,5,9,7,2,2,2,4,20,+6,DEN,940
Mason Plumlee,24:48,6,6,1.000,0,0,,2,2,1.000,1,8,9,3,0,1,1,4,14,-13,DEN,940
Malik Beasley,22:08,3,9,.333,2,4,.500,0,0,,1,2,3,1,1,0,0,1,8,-11,DEN,940
Monte Morris,16:11,3,6,.500,0,1,.000,0,0,,0,3,3,2,1,0,1,3,6,-7,DEN,940
Isaiah Thomas,15:54,5,14,.357,0,3,.000,2,2,1.000,1,0,1,0,1,0,1,2,12,-4,DEN,940
Juan Hernangómez,11:44,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,1,0,-1,DEN,940
Torrey Craig,1:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3,DEN,940
Tyler Lydon,Did Not Play,,,,,,,,,,,,,,,,,,,,DEN,940
Jarred Vanderbilt,Did Not Play,,,,,,,,,,,,,,,,,,,,DEN,940
Julius Randle,37:55,10,20,.500,3,6,.500,5,10,.500,4,6,10,4,1,1,2,4,28,+10,NOP,940
Jrue Holiday,34:35,10,23,.435,4,9,.444,5,5,1.000,0,3,3,5,3,1,6,3,29,+15,NOP,940
Elfrid Payton,32:18,3,9,.333,0,2,.000,2,4,.500,2,5,7,10,0,0,2,2,8,-10,NOP,940
Kenrich Williams,29:16,3,7,.429,1,5,.200,0,0,,4,1,5,0,2,0,1,2,7,-10,NOP,940
Jahlil Okafor,23:16,5,9,.556,0,0,,0,1,.000,1,1,2,1,0,1,3,2,10,-5,NOP,940
Darius Miller,27:16,2,5,.400,2,4,.500,4,4,1.000,0,1,1,3,1,0,1,4,10,+16,NOP,940
Frank Jackson,26:14,6,10,.600,2,4,.500,2,2,1.000,0,7,7,2,0,0,2,1,16,+6,NOP,940
Cheick Diallo,21:30,6,9,.667,0,0,,0,0,,1,9,10,1,2,1,3,5,12,+13,NOP,940
Stanley Johnson,3:58,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,-2,NOP,940
Ian Clark,3:42,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,2,0,+7,NOP,940
E'Twaun Moore,Did Not Play,,,,,,,,,,,,,,,,,,,,NOP,940
Solomon Hill,Did Not Play,,,,,,,,,,,,,,,,,,,,NOP,940
Jason Smith,Did Not Play,,,,,,,,,,,,,,,,,,,,NOP,940
Devin Booker,39:46,8,18,.444,0,5,.000,9,9,1.000,0,4,4,4,1,0,4,2,25,+13,PHO,941
Deandre Ayton,33:47,8,11,.727,0,0,,10,14,.714,5,5,10,3,2,1,1,5,26,+2,PHO,941
Kelly Oubre,29:40,6,10,.600,2,4,.500,0,0,,0,5,5,4,1,1,2,2,14,+14,PHO,941
Tyler Johnson,29:10,1,5,.200,0,3,.000,4,4,1.000,1,1,2,2,0,0,0,3,6,+3,PHO,941
Dragan Bender,16:57,2,3,.667,1,2,.500,0,0,,0,3,3,0,1,0,1,2,5,+7,PHO,941
Mikal Bridges,29:57,4,8,.500,1,5,.200,3,4,.750,1,4,5,2,1,1,0,1,12,-5,PHO,941
Josh Jackson,22:37,4,10,.400,2,4,.500,6,6,1.000,0,2,2,2,0,1,2,1,16,-1,PHO,941
De'Anthony Melton,15:36,3,5,.600,0,1,.000,0,0,,2,4,6,4,1,1,0,1,6,+9,PHO,941
Richaun Holmes,14:16,1,2,.500,0,0,,2,3,.667,0,4,4,0,0,3,0,2,4,+7,PHO,941
Troy Daniels,8:14,2,4,.500,0,2,.000,0,0,,0,0,0,0,0,0,0,3,4,-4,PHO,941
Ray Spalding,Did Not Play,,,,,,,,,,,,,,,,,,,,PHO,941
Elie Okobo,Did Not Play,,,,,,,,,,,,,,,,,,,,PHO,941
Jamal Crawford,Did Not Dress,,,,,,,,,,,,,,,,,,,,PHO,941
LeBron James,40:46,10,21,.476,4,9,.444,3,7,.429,0,9,9,16,0,0,3,2,27,-1,LAL,941
Brandon Ingram,39:06,10,19,.526,2,2,1.000,3,4,.750,1,6,7,1,0,0,3,4,25,-5,LAL,941
Kyle Kuzma,34:52,4,9,.444,0,1,.000,5,7,.714,4,2,6,3,0,1,1,4,13,-3,LAL,941
Rajon Rondo,25:59,1,10,.100,0,3,.000,2,2,1.000,2,2,4,4,2,0,2,0,4,-13,LAL,941
Reggie Bullock,18:56,2,7,.286,1,3,.333,0,0,,0,2,2,2,0,0,1,2,5,-18,LAL,941
JaVale McGee,25:46,10,10,1.000,0,0,,1,2,.500,2,5,7,0,0,1,0,3,21,+9,LAL,941
Josh Hart,25:36,3,6,.500,1,4,.250,1,1,1.000,1,2,3,0,1,1,0,5,8,-2,LAL,941
Kentavious Caldwell-Pope,15:27,2,5,.400,0,2,.000,0,0,,0,0,0,1,0,0,0,0,4,-4,LAL,941
Mike Muscala,6:42,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,2,2,+4,LAL,941
Tyson Chandler,5:29,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-6,LAL,941
Moritz Wagner,1:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-6,LAL,941
